group,messages_sampled,messages_estimated,top_lang,top_lang_pct,en_pct,year_min,year_max,n_langs
gmane.linux.kernel,5419,270950,en,98.7,98.7,2002,2019,22
gmane.comp.kde.devel.bugs,4044,202200,en,82.2,82.2,2002,2019,20
gmane.linux.debian.devel.bugs.general,3196,159800,en,97.3,97.3,2003,2019,23
gmane.os.freebsd.devel.pkg-fallout,2483,124150,en,99.5,99.5,2013,2019,2
gmane.linux.gentoo.cvs,2150,107500,en,81.4,81.4,2007,2019,29
gmane.comp.python.general,1477,73850,en,98.2,98.2,1999,2019,12
gmane.linux.kernel.commits.head,1461,73050,en,96.5,96.5,2002,2018,17
gmane.linux.ports.arm.kernel,1445,72250,en,98.7,98.7,2002,2019,11
gmane.org.wikimedia.mediawiki.cvs,1291,64550,en,91.6,91.6,2004,2018,14
gmane.user-groups.linux.czech,1273,63650,cs,70.1,2.7,2004,2019,27
gmane.comp.compilers.llvm.cvs,1251,62550,en,95.7,95.7,2005,2019,12
gmane.comp.gcc.bugs,1218,60900,en,80.4,80.4,2002,2019,20
gmane.comp.kde.bugs,1214,60700,en,83.4,83.4,2008,2011,9
gmane.os.freebsd.devel.cvs,1214,60700,en,92.8,92.8,2002,2019,15
gmane.comp.web.chromium.bugs,1211,60550,en,99.1,99.1,2008,2013,9
gmane.linux.network,1208,60400,en,98.2,98.2,2002,2019,12
gmane.comp.emulators.qemu,1203,60150,en,98.9,98.9,2004,2019,10
gmane.comp.documentfoundation.libreoffice.bugs,1191,59550,en,80.9,80.9,2011,2019,18
gmane.linux.debian.devel.bugs.rc,1167,58350,en,99.2,99.2,2003,2019,6
gmane.org.wikimedia.mediawiki.bugs,1101,55050,en,69.5,69.5,2003,2014,11
gmane.linux.debian.user,1096,54800,en,97.8,97.8,2002,2019,13
gmane.linux.mageia.packages.scm,1089,54450,en,93.8,93.8,2011,2019,14
gmane.linux.arch.scm,1078,53900,en,89.8,89.8,2009,2019,21
gmane.linux.debian.devel.changes.unstable,1063,53150,en,65.9,65.9,2003,2019,27
gmane.linux.redhat.fedora.reviews,1029,51450,en,87.9,87.9,2006,2019,16
gmane.comp.gnome.svn,1026,51300,en,88.2,88.2,2014,2019,25
gmane.comp.gcc.test-results,1025,51250,en,93.6,93.6,2002,2019,6
gmane.comp.emulators.wine.bugs,1024,51200,en,87.4,87.4,2002,2019,13
gmane.linux.redhat.fedora.general,968,48400,en,98.2,98.2,2003,2019,12
gmane.os.freebsd.devel.cvs.ports,917,45850,en,87.9,87.9,2003,2019,19
gmane.org.user-groups.linux.hungarian.flame,875,43750,hu,92.9,3.0,2004,2017,17
gmane.linux.suse.general,815,40750,en,99.4,99.4,2002,2019,6
