rule_id,unit,surface_form,text,marks_genuine_nk
morph.syn.embedded_question,commit:58b39960427db01ad4cbfd77ddc4492f6e3f7cd2:commit_message,which,"(EZ-72) Support split bootstrap in configuration

This commit adds support to ezbake for splitting a project's bootstrap files
between /etc/puppetlabs/{project}/services.d/ and
/opt/puppetlabs/server/apps/{project}/config/services.d/

This serves the ultimate goal of putting user-configurable service entries
in one location, and the services that should not be modified in another.

It accomplishes",
morph.syn.embedded_question,commit:0765e4f52d55cf4b68fa90f637c4e7b4ee472947:commit_message,when,"(PE-5211) Reorder dependencies for pe-console-services

because apparently order matters when resolving dependencies? So, for
consistency with other projects in this package, order is: 1) clojure libs, 2)
third party libs, 3) puppet labs libs, and alphabetical within each section.",
morph.syn.embedded_question,commit:9b02de50283144839ea90a9ef608f0f0f4235edd:commit_message,whether,"(EZ-97) Add missing check for pid status after kill in aborted start

This commit adds one extra  check to the logic in the
start script which confirms whether an attempt to kill the Java process
for an aborted start was successful.  Without this check, an erroneous
""Java process not killed"" trace message might be written even if the
process actually was killed.",
morph.syn.embedded_question,commit:e0581cc05c011eca84762e09d43354dd14b923c9:commit_message,if,"(EZ-100) Terminate java process if start script times out

This commit adds logic to the start script to terminate the Java
background process and purge the associated pidfile if the service
has not been started by the time the start timeout has been reached.",
morph.syn.embedded_question,pr:OpenVoxProject/ezbake:5:comment_body:9,which,"I've updated it to include #8, a commit to remove sysvinit on Debian and then modified the service wrapper removal to also cover Debian. Then the cli tools become useless, so they're dropped. This also removes the need to manage the rundir, which help a lot to remove things.

I'm unsure about the foreground cli app.",
morph.syn.embedded_question,commit:6fefa17c9fce91537829e82173386ea1f49abe5e:commit_message,when,"(maint) Fail fast when unrecognized RHEL version

Previously this was failing at the rpmbuild stage when it provided an
empty java dependency to the package build command.",
morph.syn.embedded_question,commit:6dc0b82f68fee8d24a2809d5b1810a45a9cd8814:commit_message,when,(maint) Update comment for when this should actually be fixed,
morph.syn.embedded_question,commit:badbe78b038b6adee1f3cd85c3a7ef9bd029e8d4:commit_message,what,"(PE-5992) fix heap dump filenames

Sadly, I don't know what we can use for systemd.",
morph.syn.embedded_question,commit:a7cccd37cc80aa5256ce8bf3d07639bf6ce0cae0:commit_message,when,"(RE-8861) Generate metadata files when building projects

This commit allows ezbake to build out a list of dependencies and
additional other useful metadata which will aid in tracking down
differences between packages built with ezbake.",
morph.syn.embedded_question,commit:58e5bc0231462e0f6a6c5bbdb6519ab088d690e8:commit_message,when,"(maint) Refactor get-* functions into one function

Previously several functions were present to get a value from ezbake
configs, one for each key in the config. This led to a lot of repetition
and new code being needed to get new keys when they were added. This
commit refactors those functions into one single function that takes a
keyword to lookup as an extra parameter. It also updates the calls",
morph.syn.embedded_question,commit:b7ce12b8fe8b60357b554171f3573a5761be9a33:commit_message,if,"(EZ-99) Added some double quoting and switched some -z to ! -n comps

This commit adds some extra double quoting for safety within some if -z
bash comparisons.  It also switches some ! -z comparisons to simpler -z
comparisons.",
morph.syn.embedded_question,pr:OpenVoxProject/ezbake:8:comment_body:8,what,"I'm currently using their container for SLES 15
https://github.com/OpenVoxProject/vanagon/blob/38e78d96bd14510e236a1f5137ad87e67a110dfe/lib/vanagon/platform/defaults/sles-15-x86_64.rb#L24

They have one for 12, but I ran into issues with the openvox build on it.  I don't recall what they were, but I should probably try again, since it looks like they updated the image since I last tried.

 Lo",
morph.syn.embedded_question,commit:0f993fe5a8cd881908019e06a5b962e29013de68:commit_message,when,"(RE-5033) Remove obsoletes/provides for termini

Due to an odd issue with PuppetDB, when PuppetDB 2.3.z and PuppetDB
3.0.0 are in the same repository (e.g. PC1) you can not install
PuppetDB 2.3.z because the terminus package is oboleted and therefore
brings in the 3.0.0 version of temini. That means you can't really run
2.3.5. This is bad since the tests for PuppetDB 2.3.z test against the
AIO and",
morph.syn.embedded_question,commit:1b44a38070fcd690f9bd12819a6b4e1f4b4fce25:commit_message,When,"Add :classpath-jars and :project-files features

When building for FIPS, we need to include the Bouncycastle FIPS jars in
the package, but the code can not be included in the uberjar since they
are signed jars. Therefore, we need to be able to pull down the version
we are building against and then put them in the package.

To do this, we pull the particular jars we are building against directly
fr",
morph.syn.embedded_question,pr:OpenVoxProject/ezbake:33:body,when,"Prior to b2de7c7a2e7704491a08665a9f53ded8009aa109 a tmpfiles config file was created to ensure the run directory exists. It was dropped, but causes the server to refuse to start up.

This instead makes systemd responsible for creating it when the service starts.

Fixes: b2de7c7a2e7704491a08665a9f53ded8009aa109 (""Drop service wrappers"")",
morph.syn.embedded_question,pr:OpenVoxProject/ezbake:5:comment_body:4,which,"I've updated it to include #8, a commit to remove sysvinit on Debian and then modified the service wrapper removal to also cover Debian. Then the cli tools become useless, so they're dropped. This also removes the need to manage the rundir, which help a lot to remove things.

I'm unsure about the foreground cli app.",
morph.syn.embedded_question,commit:8abdac21ac98253d066084efdc2437154f64b601:commit_message,if,"(PE-3002) Fix bug if no bin script

The changes related to supporting CLI apps in ezbake projects
were intended to only create a wrapper bin script if the project
actually provided at least one CLI tool.  However, in the redhat
spec, we were trying to install the bin script even if that
condition hadn't been met.  This commit should fix that issue,
and allow RPMs to be built for projects that don'",
morph.syn.embedded_question,pr:OpenVoxProject/ezbake:37:comment_body:6,if,My concern here is.. what if a person changes the listening port of an openvox-server/openvoxdb instance? Shall we parse the real config instead maybe? Or at least make it explicit in the config file to update the systemd unit file if the port is changed by some reason.,
